id,donor_id,prod_smiles,ald_smiles,prod_arc,prod_mem,ald_arc,ald_mem,thermal_prod,thermal_ald,charge_prod,charge_ald,label_stored,new_scaffold_split
165715,165715,CC(CC(=O)C(O)CC(C)c1ccc2c(c1F)CCCC2)c1ccc2c(c1F)CCCC2,CC(CC=O)c1ccc2c(c1F)CCCC2,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1657/geom.tar.zst,xyz/p000015.xyz,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1657/geom.tar.zst,ald_xyz/a000011.xyz,0.4531084677460057,0.1855401473100002,0,0,1.996151182406937,train
166102,166102,COc1cc(F)cc(C(=O)C(O)c2cc(F)cc(OC)c2Br)c1Br,COc1cc(F)cc(C=O)c1Br,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1661/geom.tar.zst,xyz/p000002.xyz,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1661/geom.tar.zst,ald_xyz/a000038.xyz,0.1528253294439991,0.0602755695630037,0,0,4.838837011571333,train
167735,167735,O=C(c1cc(-c2ccc(Cl)cc2Cl)ncc1C(F)(F)F)C(O)c1cc(-c2ccc(Cl)cc2Cl)ncc1C(F)(F)F,O=Cc1cc(-c2ccc(Cl)cc2Cl)ncc1C(F)(F)F,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1677/geom.tar.zst,xyz/p000035.xyz,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1677/geom.tar.zst,ald_xyz/a000073.xyz,0.2046710660350044,0.0454852993560024,0,0,2.1785899207187955,train
167023,167023,Nc1nc(-c2ccc(F)c(F)c2)ncc1C(=O)C(O)c1cnc(-c2ccc(F)c(F)c2)nc1N,Nc1nc(-c2ccc(F)c(F)c2)ncc1C=O,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1670/geom.tar.zst,xyz/p000023.xyz,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1670/geom.tar.zst,ald_xyz/a000042.xyz,0.2114340843810112,0.0914679611840014,0,0,8.952189255242963,train
5160,5160,COCCNC(=O)Cc1c(C)c2c(OC)cc(O)c(C(=O)C(O)c3c(O)cc(OC)c4c(C)c(CC(=O)NCCOC)c(=O)oc34)c2oc1=O,COCCNC(=O)Cc1c(C)c2c(OC)cc(O)c(C=O)c2oc1=O,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_0051/geom.tar.zst,xyz/p000060.xyz,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_0051/geom.tar.zst,ald_xyz/a000022.xyz,0.5180379924439933,0.2397143266129973,0,0,11.048607779784998,train
182237,182237,CC(C)(C(F)C(=O)C(O)C(F)C(C)(C)C(F)(F)C(=O)Cl)C(F)(F)C(=O)Cl,CC(C)(C(F)C=O)C(F)(F)C(=O)Cl,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1822/geom.tar.zst,xyz/p000037.xyz,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1822/geom.tar.zst,ald_xyz/a000007.xyz,0.1995771927779941,0.0848312139700055,0,0,-2.3873066752736656,train
93656,93656,O=C(CCC1CC(F)(F)CN1C(=O)O)C(O)CCC1CC(F)(F)CN1C(=O)O,O=CCCC1CC(F)(F)CN1C(=O)O,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_0936/geom.tar.zst,xyz/p000056.xyz,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_0936/geom.tar.zst,ald_xyz/a000083.xyz,0.2784129035260037,0.119716702258998,0,0,7.333097901397082,train
174289,174289,Nc1ccc(C(F)F)c(C(=O)C(O)c2nc(N)ccc2C(F)F)n1,Nc1ccc(C(F)F)c(C=O)n1,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1742/geom.tar.zst,xyz/p000089.xyz,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1742/geom.tar.zst,ald_xyz/a000045.xyz,0.1542416752050002,0.0563010018779976,0,0,3.488970321812945,train
161980,161980,O=C(c1cccc(C(C(F)F)C2CCC2)c1)C(O)c1cccc(C(C(F)F)C2CCC2)c1,O=Cc1cccc(C(C(F)F)C2CCC2)c1,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1619/geom.tar.zst,xyz/p000080.xyz,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1619/geom.tar.zst,ald_xyz/a000068.xyz,0.3742691065820054,0.1718036476279962,0,0,4.393981741447282,train
182072,182072,Cc1cc(C(C)NCc2c(C(=O)C(O)c3ccnc(Cl)c3CNC(C)c3cnc(OCC(F)F)c(C)c3)ccnc2Cl)cnc1OCC(F)F,Cc1cc(C(C)NCc2c(C=O)ccnc2Cl)cnc1OCC(F)F,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1820/geom.tar.zst,xyz/p000072.xyz,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1820/geom.tar.zst,ald_xyz/a000047.xyz,0.505957323299981,0.2353272975019962,0,0,-0.4534957987190435,train
161799,161799,O=C(c1ccc(C2CCCC2CF)cc1)C(O)c1ccc(C2CCCC2CF)cc1,O=Cc1ccc(C2CCCC2CF)cc1,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1617/geom.tar.zst,xyz/p000099.xyz,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1617/geom.tar.zst,ald_xyz/a000054.xyz,0.395788899010995,0.1835232282319978,0,0,5.369754510074613,train
163021,163021,O=C(c1c(C2CCCC2)nn(-c2c(F)cccc2Cl)c1Cl)C(O)c1c(C2CCCC2)nn(-c2c(F)cccc2Cl)c1Cl,O=Cc1c(C2CCCC2)nn(-c2c(F)cccc2Cl)c1Cl,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1630/geom.tar.zst,xyz/p000021.xyz,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_1630/geom.tar.zst,ald_xyz/a000079.xyz,0.3787049201580004,0.171223821401,0,0,11.696492702584225,train
94013,94013,O=C(c1ccc(-c2cccc(C(F)(F)F)c2)c2ccccc12)C(O)c1ccc(-c2cccc(C(F)(F)F)c2)c2ccccc12,O=Cc1ccc(-c2cccc(C(F)(F)F)c2)c2ccccc12,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_0940/geom.tar.zst,xyz/p000013.xyz,/gpfs/scratch1/shared/schen3/benzoin-dg-restored/data/cross_benzoin/bde_homo_product_featurize_20260902/chunk_0940/geom.tar.zst,ald_xyz/a000098.xyz,0.3596339520219942,0.1607697657069948,0,0,9.979994266553971,train
