donor_id,acceptor_id,donor_smiles,acceptor_smiles,source_pair_id,new_scaffold_split,orientation,class_pair,stratum
DWGJSECISQTMGJ-SOFGYWHQSA-N,IOFQZMOQISWOBW-UHFFFAOYSA-N,C[Si](C)(C)C/C=C/CCCC=O,CC1(CCC(=O)C1)C=O,CBZ3-P-84A3B7D17F50FE6D,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
IOFQZMOQISWOBW-UHFFFAOYSA-N,DWGJSECISQTMGJ-SOFGYWHQSA-N,CC1(CCC(=O)C1)C=O,C[Si](C)(C)C/C=C/CCCC=O,CBZ3-P-84A3B7D17F50FE6D,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
MXXHNRFKNWMDFJ-UHFFFAOYSA-N,RWIDNUUARFSTFJ-UHFFFAOYSA-N,COC1=C(C=C(C=C1F)Br)CC=O,CC1=C(C(=NC=N1)N2CCC(CC2)C=O)F,CBZ3-P-0EC7CA3C21A13DFB,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
RWIDNUUARFSTFJ-UHFFFAOYSA-N,MXXHNRFKNWMDFJ-UHFFFAOYSA-N,CC1=C(C(=NC=N1)N2CCC(CC2)C=O)F,COC1=C(C=C(C=C1F)Br)CC=O,CBZ3-P-0EC7CA3C21A13DFB,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
DGDQPDICJZFEPX-UHFFFAOYSA-N,ZVYVOWLGWLJNOA-UHFFFAOYSA-N,C1=CC(=C(C=C1F)O)C(CCC=O)Cl,CC(C=O)(C1=CC=C(C=C1)S(=O)(=O)C)F,CBZ3-P-B4B256CCB3B2ED61,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
ZVYVOWLGWLJNOA-UHFFFAOYSA-N,DGDQPDICJZFEPX-UHFFFAOYSA-N,CC(C=O)(C1=CC=C(C=C1)S(=O)(=O)C)F,C1=CC(=C(C=C1F)O)C(CCC=O)Cl,CBZ3-P-B4B256CCB3B2ED61,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
FGJYMHUMDJAJOI-UHFFFAOYSA-N,WQHPREUGTNDZBH-UHFFFAOYSA-N,CN1CCCC1CC(C=O)(F)F,C1CCC(C1)(C=O)OC2=CC=C(C=C2)C(F)(F)F,CBZ3-P-79A995C17573AA73,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
WQHPREUGTNDZBH-UHFFFAOYSA-N,FGJYMHUMDJAJOI-UHFFFAOYSA-N,C1CCC(C1)(C=O)OC2=CC=C(C=C2)C(F)(F)F,CN1CCCC1CC(C=O)(F)F,CBZ3-P-79A995C17573AA73,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
AKKLMJCCFOIQOD-UHFFFAOYSA-N,YDVHZWOYPHCKQP-DUXPYHPUSA-N,C1=CC=C(C(=C1)OC2=CN(N=C2)CC=O)F,C1CC1(CNCC2=C(C=C(C=C2)/C=C/C(C3=CC(=C(C(=C3)Cl)Cl)Cl)C(F)(F)F)F)C=O,CBZ3-P-FF1103A2BC751DDF,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
YDVHZWOYPHCKQP-DUXPYHPUSA-N,AKKLMJCCFOIQOD-UHFFFAOYSA-N,C1CC1(CNCC2=C(C=C(C=C2)/C=C/C(C3=CC(=C(C(=C3)Cl)Cl)Cl)C(F)(F)F)F)C=O,C1=CC=C(C(=C1)OC2=CN(N=C2)CC=O)F,CBZ3-P-FF1103A2BC751DDF,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
GGUQAHQZVDCCEV-UHFFFAOYSA-N,OSEZQRPKXFQTTL-NVXWUHKLSA-N,CC(C=O)C1=CC2=C(C=C1)N(CC2)CC3=C(NN=C3)C4=CC=C(C=C4)C(F)(F)F,CCC1=C[C@H](C[C@H](C1(C#N)C#N)CC=O)C2=CC=CC=C2,CBZ3-P-2F7D267246461258,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
OSEZQRPKXFQTTL-NVXWUHKLSA-N,GGUQAHQZVDCCEV-UHFFFAOYSA-N,CCC1=C[C@H](C[C@H](C1(C#N)C#N)CC=O)C2=CC=CC=C2,CC(C=O)C1=CC2=C(C=C1)N(CC2)CC3=C(NN=C3)C4=CC=C(C=C4)C(F)(F)F,CBZ3-P-2F7D267246461258,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
QAQNRIHQMCNZCM-DLBZAZTESA-N,QOZQBVVQOKPJLC-UHFFFAOYSA-N,C1C[C@H](C[C@H]1C=C(C2=CC=CC=C2)C3=CC=CC=C3)C=O,CCC1(CC2CC1C=C2)C=O,CBZ3-P-C30C6134CA86EB90,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
QOZQBVVQOKPJLC-UHFFFAOYSA-N,QAQNRIHQMCNZCM-DLBZAZTESA-N,CCC1(CC2CC1C=C2)C=O,C1C[C@H](C[C@H]1C=C(C2=CC=CC=C2)C3=CC=CC=C3)C=O,CBZ3-P-C30C6134CA86EB90,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
LQJFEYRIJPKBOF-UHFFFAOYSA-N,XRNBMZNWDHWIPE-UHFFFAOYSA-N,C1CCN(CC(C1)C=O)CC(F)(F)F,CCCCCCCC(C=O)SC1=NC(=CC(=N1)OC)OC,CBZ3-P-CEC6E65D4CF48D75,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
XRNBMZNWDHWIPE-UHFFFAOYSA-N,LQJFEYRIJPKBOF-UHFFFAOYSA-N,CCCCCCCC(C=O)SC1=NC(=CC(=N1)OC)OC,C1CCN(CC(C1)C=O)CC(F)(F)F,CBZ3-P-CEC6E65D4CF48D75,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
HTJLKKUBENHKAJ-UHFFFAOYSA-N,YJUBWEPLDCDCPQ-UHFFFAOYSA-N,CN(C1=CC(=C(N=C1)C#N)C(F)(F)F)C(=S)N(C2=C(C=CC=C2F)F)C3(CCC3)C=O,C1=CC(=C(C(=C1)F)C#N)C#CCC=O,CBZ3-P-4E60A578992A6626,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
YJUBWEPLDCDCPQ-UHFFFAOYSA-N,HTJLKKUBENHKAJ-UHFFFAOYSA-N,C1=CC(=C(C(=C1)F)C#N)C#CCC=O,CN(C1=CC(=C(N=C1)C#N)C(F)(F)F)C(=S)N(C2=C(C=CC=C2F)F)C3(CCC3)C=O,CBZ3-P-4E60A578992A6626,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
DTVCYSWJRWCMEL-OSCSTCBISA-N,RNJQXUZITNLGBF-UHFFFAOYSA-N,C[C@@H]1CO[C@H](O[C@H]1[C@H](C)[C@H]([C@@H](C)C=O)OC(=O)CC(C)C)C2=CC=C(C=C2)OC,CC1=CC=CC=C1N2CCN(CC2)C(CN3C(=C(C(=N3)C(F)(F)F)Cl)C)C=O,CBZ3-P-B7190A05994F0A83,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
RNJQXUZITNLGBF-UHFFFAOYSA-N,DTVCYSWJRWCMEL-OSCSTCBISA-N,CC1=CC=CC=C1N2CCN(CC2)C(CN3C(=C(C(=N3)C(F)(F)F)Cl)C)C=O,C[C@@H]1CO[C@H](O[C@H]1[C@H](C)[C@H]([C@@H](C)C=O)OC(=O)CC(C)C)C2=CC=C(C=C2)OC,CBZ3-P-B7190A05994F0A83,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
