pair_key,abs_orientation_gap
AAAAFWXOPFYKRZ-JTNDJSHYSA-N__PAWSZEMMEPRFSG-UHFFFAOYSA-N,2.654369783550285
AAAJWMOBNIZFMM-UHFFFAOYSA-N__XFOLMXMNCNPQQI-UHFFFAOYSA-N,3.4140870234046545
AAARDYJDWQMKEP-UHFFFAOYSA-N__VBUZAHLUWZTYIQ-UHFFFAOYSA-N,2.0419938216917837
AAASPVSASLFWTQ-UHFFFAOYSA-N__GXACXWPUCQARQI-UHFFFAOYSA-N,1.3896206245004215
AAAXJUNEHVQSSE-UHFFFAOYSA-N__DQZWXFOSMIASIC-UHFFFAOYSA-N,0.8111176849816677
AACLFGRLJZVLOJ-UHFFFAOYSA-N__JKYKIVRVKABGFL-UHFFFAOYSA-N,0.1513178764750993
AACLFGRLJZVLOJ-UHFFFAOYSA-N__SVDTVNSCKIMCQF-UHFFFAOYSA-N,1.4494662127285483
AACYDVAIMYFBGO-UHFFFAOYSA-N__YBJUEEITRYLBDR-UHFFFAOYSA-N,3.7096691734605693
AADAQNZFNRQCBF-UHFFFAOYSA-N__WAOXYYVXSGMMFL-UHFFFAOYSA-N,1.8101255354580257
AADCSVJAYRPPBE-VIFPVBQESA-N__LAIGUFGVFDYOHC-UHFFFAOYSA-N,2.8184498690377735
AAFZMYRURFKHSW-UHFFFAOYSA-N__NHKHRHHQGUBSGS-OYUWMTPXSA-N,0.5817303225453245
AAFZMYRURFKHSW-UHFFFAOYSA-N__WDPWRSUKBJUUOY-YNNMVLHISA-N,0.7011963116686197
AAFZMYRURFKHSW-UHFFFAOYSA-N__ZRGQFEYNLUOGJZ-FUEDEBDSSA-N,0.24657381956532376
AAHFAABFNIYXPY-UHFFFAOYSA-N__UGAZSLUWAJNUIM-UHFFFAOYSA-N,1.911282006390597
AAJUEMYEASRYAK-UHFFFAOYSA-N__JDJGVHBFGFJVHF-UHFFFAOYSA-N,0.4811409339253672
AAJVCQPQGWUYMD-QMMMGPOBSA-N__NGEVRUUFNAKXBP-KVQBGUIXSA-N,6.817643193289398
AAJVCQPQGWUYMD-UHFFFAOYSA-N__YYYXKHGLICPRBY-UHFFFAOYSA-N,0.2517538515500335
AALGBVWXJAWULS-UHFFFAOYSA-N__NUJYRQCUTRZVBB-UHFFFAOYSA-N,1.8232228723235193
AAMBGEHUEPTBLL-UHFFFAOYSA-N__DBMZOJKHICFJSY-UHFFFAOYSA-N,3.005020633178259
AAMZJKGABLTRPA-GRDNDAEWSA-N__JRURYWDMXODOER-UHFFFAOYSA-N,0.7379822856892506
AAMZJKGABLTRPA-GRDNDAEWSA-N__UEMDVAXTMKGPQM-UHFFFAOYSA-N,0.33411255738228895
AAMZJKGABLTRPA-UHFFFAOYSA-N__WTQBWGZKPBCSCS-UHFFFAOYSA-N,4.6321566505492635
AAOICYZOQQUHFB-HNNXBMFYSA-N__MRAIVJJWMZQLHT-UHFFFAOYSA-N,0.78854663787493
AAOIVJBLYFXNTA-UHFFFAOYSA-N__LOPQPRJKSBQCOO-UHFFFAOYSA-N,3.3909254121478103
AAPBMQVDCKNNHC-UHFFFAOYSA-N__DXOHEIWOGHALET-GOADRSPRSA-N,1.129852826510513
