pid,dG_r2scan_kcal,dG_b973c_kcal,dG_gxtb_kcal
explore_100297_157167,-7.98457979421913,-4.348645521041625,-4.860223832752805
explore_100398_14891,-5.027283335205337,1.534655373680616,-3.11265744446616
explore_100414_123785,2.498137466133869,7.87640920459208,5.057159832315697
explore_10095_140194,4.436735543523634,8.948881233878277,3.781380081794833
explore_101400_28727,8.660133368656682,14.282191118810772,7.62375981575788
explore_101514_50610,7.77048379472192,11.0171235983906,3.655055116537064
explore_101520_109752,5.857576702527543,10.68310172487524,3.2501622695896817
explore_101604_184407,-4.750211428913212,-1.1465590923048123,-6.37471061589263
explore_101644_160212,2.0634724750275906,7.501719575208014,3.650632704608595
explore_10167_186649,5.076470205716396,9.67320020687221,4.795725773504774
explore_102869_99847,-1.2908805558049703,5.181005302934996,1.5139530448921308
explore_103635_192592,4.282949388945315,9.016796223571168,6.567720410670215
explore_103728_179581,-7.096002217853523,-1.0392687528293316,-2.429482576402018
explore_103764_195113,5.8375129255064655,10.203446269723624,7.105562384387339
explore_10414_127112,-0.1279701894515295,4.310141747446584,-3.041579922796436
explore_104311_132490,-5.186846353318433,0.9460898836527344,-6.154862457895628
explore_104957_129892,6.5769064652341696,11.717161567088192,3.3538108591065274
explore_105160_54497,-0.8556109341823485,4.696909352772619,1.8431803417226635
explore_105874_146149,6.42104710905223,11.061467354558433,3.849161161554592
explore_10655_60455,-0.9290455686748584,4.725145806939345,-0.7606450328039738
explore_106572_103083,-3.9928585378127375,1.2805291168960713,-1.5167864947196164
explore_107008_55591,0.820619091508981,7.5043420707947535,6.384698290635968
explore_107144_100122,-2.872204492638309,3.238614400354711,-0.7015962883853838
explore_10733_208073,2.703061864035512,7.131536322283459,-2.1694923252876177
explore_107903_128830,-0.3591769888367709,3.96487732577577,2.1900415472360075
explore_107965_115421,4.962865487242349,9.461919108201476,8.857282810784444
explore_107966_69382,-0.4555152904286606,5.426586762547441,-0.4538149011306565
explore_108720_212540,7.623256669058265,11.713631834233464,5.48303400618604
explore_108786_188140,2.300772843466689,7.558743518210037,3.002849742524917
explore_108814_7599,1.691831141784554,7.383821392144281,0.7451606925918611
explore_108907_18494,0.2374190498000643,4.316287286662143,-3.0614457273805877
explore_109070_124952,4.1948667097303725,9.070697364529048,5.280351389852318
explore_109137_167072,-1.6273688486288092,3.431586282075719,3.0565152455375943
explore_109217_38233,7.598444869556758,12.720587266220331,4.698693149011604
explore_109306_203010,-2.4574861186511034,2.275808935522337,-5.842725214122715
explore_10931_102735,-3.382598913949955,1.9481469314656448,-1.211942905623404
