donor_id,acceptor_id,donor_smiles,acceptor_smiles,source_reaction_id,source_pair_id,split,orientation,class_pair
KPSFZKRFARILAF-UHFFFAOYSA-N,UCWCAPBKJJYRPE-OPRDCNLKSA-N,C1CC(=O)NC(=O)C1N2CC3=C(C=C(C=C3C2=O)F)C#CCOCC=O,C[C@@H]1CC[C@@H](C1(C)C)[C@H](C)C=O,CBZ3-R-7E69B98AE5459A7F-AB,CBZ3-P-7E69B98AE5459A7F,train,A_donor_B_acceptor,aliphatic__aliphatic
UCWCAPBKJJYRPE-OPRDCNLKSA-N,KPSFZKRFARILAF-UHFFFAOYSA-N,C[C@@H]1CC[C@@H](C1(C)C)[C@H](C)C=O,C1CC(=O)NC(=O)C1N2CC3=C(C=C(C=C3C2=O)F)C#CCOCC=O,CBZ3-R-7E69B98AE5459A7F-BA,CBZ3-P-7E69B98AE5459A7F,train,B_donor_A_acceptor,aliphatic__aliphatic
DETADSAIIWMMJN-UHFFFAOYSA-N,GTXQCQYMTNKKLA-NXHRZFHOSA-N,C(CC(CC(F)(F)F)N)C=O,C1C[C@@]2(C=C[C@H]1C[C@H]2CC=O)COCC3=CC=CC=C3,CBZ3-R-3F5E78E5AABE6237-AB,CBZ3-P-3F5E78E5AABE6237,train,A_donor_B_acceptor,aliphatic__aliphatic
GTXQCQYMTNKKLA-NXHRZFHOSA-N,DETADSAIIWMMJN-UHFFFAOYSA-N,C1C[C@@]2(C=C[C@H]1C[C@H]2CC=O)COCC3=CC=CC=C3,C(CC(CC(F)(F)F)N)C=O,CBZ3-R-3F5E78E5AABE6237-BA,CBZ3-P-3F5E78E5AABE6237,train,B_donor_A_acceptor,aliphatic__aliphatic
KXQDDWLANTVIMD-DIAVIDTQSA-N,MKNOGMHZSAFMIW-UHFFFAOYSA-N,C1CCOC(C1)O[C@H](CC2=CC(=C(C=C2)C3=CC=C(C=C3)F)C(F)(F)F)C=O,COC1=C(C=C2CN(C(=O)C2=C1)C3CCC(CC3)C=O)NC(=O)C4=NC(=CC=C4)C(F)(F)F,CBZ3-R-63AB8B7338EBF5AB-AB,CBZ3-P-63AB8B7338EBF5AB,train,A_donor_B_acceptor,aliphatic__aliphatic
MKNOGMHZSAFMIW-UHFFFAOYSA-N,KXQDDWLANTVIMD-DIAVIDTQSA-N,COC1=C(C=C2CN(C(=O)C2=C1)C3CCC(CC3)C=O)NC(=O)C4=NC(=CC=C4)C(F)(F)F,C1CCOC(C1)O[C@H](CC2=CC(=C(C=C2)C3=CC=C(C=C3)F)C(F)(F)F)C=O,CBZ3-R-63AB8B7338EBF5AB-BA,CBZ3-P-63AB8B7338EBF5AB,train,B_donor_A_acceptor,aliphatic__aliphatic
DHMWSBMHUJBSHL-LQELWAHVSA-N,MEJUOWDTSQEYQU-UHFFFAOYSA-N,CCOC(=O)[C@H](CC=O)O/N=C/C1=CC=CC=C1,C1=CC(C(C(=C1)F)C=O)(C2=CC3=CC(=NN3C=C2)C4=CC=C(C=C4)Cl)F,CBZ3-R-EE86A41AE75FB215-AB,CBZ3-P-EE86A41AE75FB215,train,A_donor_B_acceptor,aliphatic__aliphatic
MEJUOWDTSQEYQU-UHFFFAOYSA-N,DHMWSBMHUJBSHL-LQELWAHVSA-N,C1=CC(C(C(=C1)F)C=O)(C2=CC3=CC(=NN3C=C2)C4=CC=C(C=C4)Cl)F,CCOC(=O)[C@H](CC=O)O/N=C/C1=CC=CC=C1,CBZ3-R-EE86A41AE75FB215-BA,CBZ3-P-EE86A41AE75FB215,train,B_donor_A_acceptor,aliphatic__aliphatic
FCMYOGCHIPNWLT-FOIQADDNSA-N,UOBZQIAWUOQQOO-DHLMPNOKSA-N,C[C@@H]1C[C@](CCO1)(C=O)C2=CC(=CC(=C2)F)OCC3=CC=CC=C3,CO[C@H]1CC[C@H]([C@@H]2[C@]1(C(=O)C3=C(CC2=O)C=C(C=C3)OC)C=C)C=O,CBZ3-R-B63A8037EB0A46CE-AB,CBZ3-P-B63A8037EB0A46CE,train,A_donor_B_acceptor,aliphatic__aliphatic
UOBZQIAWUOQQOO-DHLMPNOKSA-N,FCMYOGCHIPNWLT-FOIQADDNSA-N,CO[C@H]1CC[C@H]([C@@H]2[C@]1(C(=O)C3=C(CC2=O)C=C(C=C3)OC)C=C)C=O,C[C@@H]1C[C@](CCO1)(C=O)C2=CC(=CC(=C2)F)OCC3=CC=CC=C3,CBZ3-R-B63A8037EB0A46CE-BA,CBZ3-P-B63A8037EB0A46CE,train,B_donor_A_acceptor,aliphatic__aliphatic
SOEUERZIUSPVJX-KZUDCZAMSA-N,ZPTZIENUQFRHGR-ARFHVFGLSA-N,CC(C)(C=O)[C@H]1CC(=O)C(C1=O)CCC2=CC=C(C=C2)F,C1=CC=C(C=C1)C(=O)[C@@H]2[C@H]([C@H]2C3=CC=C(C=C3)[N+](=O)[O-])C=O,CBZ3-R-2734415A444AC0FC-AB,CBZ3-P-2734415A444AC0FC,train,A_donor_B_acceptor,aliphatic__aliphatic
ZPTZIENUQFRHGR-ARFHVFGLSA-N,SOEUERZIUSPVJX-KZUDCZAMSA-N,C1=CC=C(C=C1)C(=O)[C@@H]2[C@H]([C@H]2C3=CC=C(C=C3)[N+](=O)[O-])C=O,CC(C)(C=O)[C@H]1CC(=O)C(C1=O)CCC2=CC=C(C=C2)F,CBZ3-R-2734415A444AC0FC-BA,CBZ3-P-2734415A444AC0FC,train,B_donor_A_acceptor,aliphatic__aliphatic
GSPPOLJWQCVWGV-UHFFFAOYSA-N,SSTWESVQVKCVTC-UHFFFAOYSA-N,CC(C)(CC(C=O)(C(F)(F)F)O)C1=CC(=C(C=C1OC)F)F,C1CCC2=C(C=C(C=C2)F)C(C1)C(=O)NCC(C3CCC(CC3)C=O)N,CBZ3-R-42D2590B1D68AFEA-AB,CBZ3-P-42D2590B1D68AFEA,train,A_donor_B_acceptor,aliphatic__aliphatic
SSTWESVQVKCVTC-UHFFFAOYSA-N,GSPPOLJWQCVWGV-UHFFFAOYSA-N,C1CCC2=C(C=C(C=C2)F)C(C1)C(=O)NCC(C3CCC(CC3)C=O)N,CC(C)(CC(C=O)(C(F)(F)F)O)C1=CC(=C(C=C1OC)F)F,CBZ3-R-42D2590B1D68AFEA-BA,CBZ3-P-42D2590B1D68AFEA,train,B_donor_A_acceptor,aliphatic__aliphatic
AIFJYVOGSHXECI-UHFFFAOYSA-N,BLKPFVWYBFDTPX-UWVGGRQHSA-N,CC(C)(C)OC(=O)NC(C=O)C1=C(C=CC(=C1F)F)F,CC1([C@H]2CC=C([C@@H]1C2)CC=O)C,CBZ3-R-090CF609CCDFC92D-AB,CBZ3-P-090CF609CCDFC92D,train,A_donor_B_acceptor,aliphatic__aliphatic
BLKPFVWYBFDTPX-UWVGGRQHSA-N,AIFJYVOGSHXECI-UHFFFAOYSA-N,CC1([C@H]2CC=C([C@@H]1C2)CC=O)C,CC(C)(C)OC(=O)NC(C=O)C1=C(C=CC(=C1F)F)F,CBZ3-R-090CF609CCDFC92D-BA,CBZ3-P-090CF609CCDFC92D,train,B_donor_A_acceptor,aliphatic__aliphatic
PDSNPQYPZZVXBJ-OQRDJCCKSA-N,RLTNSYDXJNKKKX-ONEXVHNNSA-N,C1CN(CC2=C1SC=N2)C(C=O)[C@](CC3CC(=O)NCC3(F)F)(C4=CC=C(C=C4)F)N,COC1=CC2=C(C=CN=C2C=C1)C(CC=O)[C@H]3CCN(C[C@@H]3C(=O)O)CC#CC4=CC(=CC=C4)F,CBZ3-R-C1E0FE1FC5C8908A-AB,CBZ3-P-C1E0FE1FC5C8908A,train,A_donor_B_acceptor,aliphatic__aliphatic
RLTNSYDXJNKKKX-ONEXVHNNSA-N,PDSNPQYPZZVXBJ-OQRDJCCKSA-N,COC1=CC2=C(C=CN=C2C=C1)C(CC=O)[C@H]3CCN(C[C@@H]3C(=O)O)CC#CC4=CC(=CC=C4)F,C1CN(CC2=C1SC=N2)C(C=O)[C@](CC3CC(=O)NCC3(F)F)(C4=CC=C(C=C4)F)N,CBZ3-R-C1E0FE1FC5C8908A-BA,CBZ3-P-C1E0FE1FC5C8908A,train,B_donor_A_acceptor,aliphatic__aliphatic
AYXXERJPOKFQAI-IBGZPJMESA-N,IDAVVYRWDCIUMB-UHFFFAOYSA-N,C[C@]1(CCCC2=C1C=C3C=NN(C3=C2)C4=CC=C(C=C4)F)C=O,COC1=CC=C(C=C1)C(C=O)C(C(=O)OC)C(=O)OC,CBZ3-R-EBE05644D889080D-AB,CBZ3-P-EBE05644D889080D,train,A_donor_B_acceptor,aliphatic__aliphatic
IDAVVYRWDCIUMB-UHFFFAOYSA-N,AYXXERJPOKFQAI-IBGZPJMESA-N,COC1=CC=C(C=C1)C(C=O)C(C(=O)OC)C(=O)OC,C[C@]1(CCCC2=C1C=C3C=NN(C3=C2)C4=CC=C(C=C4)F)C=O,CBZ3-R-EBE05644D889080D-BA,CBZ3-P-EBE05644D889080D,train,B_donor_A_acceptor,aliphatic__aliphatic
